"","Node1","Sign","Node2","Weight"
"1","AHR",1,"ESR1",100
"2","AIP",1,"AHR",100
"3","ATF2",1,"ATF3",100
"4","CADPS",1,"STX1A",45
"5","CADPS2",1,"STX1A",35
"6","CDK1",-1,"CUX1",100
"7","CDK1",1,"AR",100
"8","CDK5",-1,"RB1",100
"9","CDK5",1,"CLOCK",100
"10","CEBPB",1,"CREB1",100
"11","CEBPB",1,"E2F4",100
"12","CEBPE",1,"CEBPG",100
"13","CPLX1",1,"STX1A",47
"14","CREBZF",1,"ATF4",100
"15","DTX1",-1,"ASCL1",100
"16","E2F4",-1,"CDK1",100
"17","EFNA2",1,"EPHA4",36
"18","EFNB3",1,"EPHA4",16
"19","EGR1",-1,"AR",100
"20","EID2",-1,"SMAD3_SMAD4",100
"21","EPHA4",1,"CDK5",52
"22","FBXO11",-1,"BCL6",100
"23","FBXO22",-1,"BACH1",100
"24","FHL5",1,"CREM",100
"25","GABPB2",-1,"HCFC1",100
"26","HCFC1",1,"CREB3",100
"27","HEY2",-1,"ARNT",60
"28","HYAL2",1,"SMAD4",3
"29","ITCH",-1,"DTX1",100
"30","LCMT1",1,"PPP2CB",100
"31","MBTPS2",1,"CREB3L1",100
"32","N4BP1",-1,"ITCH",100
"33","NAB1",-1,"EGR1",44
"34","NAB2",-1,"EGR1",99
"35","NUP214",1,"SMAD4",37
"36","PAK1",1,"ELF3",100
"37","PAK1",1,"ESR1",100
"38","PCSK7",1,"ATF6",100
"39","PCSK7",1,"ELK4",100
"40","PPP2CB",-1,"ELF1",100
"41","PPP2CB",-1,"PAK1",100
"42","PRPF4B",1,"ELK1",100
"43","PTP4A1",-1,"ATF7",57
"44","RB1",-1,"E2F3",100
"45","SIM2",1,"ARNT",46
"46","SMAD3_SMAD4",-1,"CEBPA",100
"47","SMAD3_SMAD4",-1,"CEBPB",100
"48","SMAD3_SMAD4",-1,"CEBPD",100
"49","SMAD4",1,"ATF1",100
"50","SMAD4",1,"ATF2",100
"51","SMAD4",1,"CREB1",100
"52","SMAD4",1,"CTCF",100
"53","SMAD4",1,"E2F4",100
"54","SMAD4",1,"E2F5",100
"55","SNIP1",1,"SMAD4",10
"56","STX1A",1,"CDK5",48
"57","TAF12",1,"ATF7",26
"58","TAF4",-1,"ATF7",43
"59","TFDP2",1,"E2F2",100
"60","TFDP2",1,"RB1",100
"61","TGIF1",-1,"SMAD4",13
"62","TRIM33",1,"SMAD4",19
"63","USP9X",1,"SMAD4",18
"64","ZNF521",-1,"EBF1",100
