"","Node1","Sign","Node2","Weight"
"1","ADNP",-1,"CTCF",66
"2","AIP",1,"AHR",100
"3","CDK1",-1,"CUX1",100
"4","CDK1",1,"CHEK1",100
"5","CDK5RAP3",1,"CDK1",100
"6","CEBPB",1,"CREB1",100
"7","CEBPE",1,"CEBPG",100
"8","CHEK1",-1,"E2F6",100
"9","CHEK1",1,"RB1",100
"10","CHP1",1,"PAK1",100
"11","CREB1",1,"TP53",100
"12","CREBZF",1,"ATF4",100
"13","DTX1",-1,"ASCL1",100
"14","DUSP10",-1,"MAPK3",9
"15","DUSP19",1,"MAPK8",4
"16","DUSP2",1,"MAPK1",9
"17","DUSP2",1,"MAPK14",12
"18","DUSP7",-1,"MAPK1",3
"19","DUSP8",1,"MAPK14",16
"20","DUSP9",1,"MAPK1",5
"21","EGR1",1,"TP53",100
"22","EID2",-1,"SMAD3_SMAD4",100
"23","ELP1",1,"MAPK8",2
"24","FHL5",1,"CREM",100
"25","FOXH1",1,"SMAD2",15
"26","GABPB2",-1,"HCFC1",100
"27","GXYLT1",1,"NOTCH2",46
"28","GXYLT2",1,"NOTCH2",52
"29","HCFC1",1,"CREB3",100
"30","HDLBP",1,"CTCF",100
"31","HEY2",-1,"ARNT",39
"32","HIF1AN",-1,"EPAS1",100
"33","HYAL2",1,"SMAD4",62
"34","ITCH",-1,"DTX1",47
"35","KDM7A",1,"AR",100
"36","LAMTOR3",1,"MAPK1",12
"37","LCMT1",1,"PPP2CA",46
"38","LCMT1",1,"PPP2CB",26
"39","MAPK1",-1,"AR",35
"40","MAPK1",-1,"CEBPA",35
"41","MAPK1",1,"ELK4",35
"42","MAPK1",1,"PAK1",35
"43","MAPK1",1,"SMAD2",26
"44","MAPK14",-1,"CREB1",8
"45","MAPK14",-1,"RB1",22
"46","MAPK14",1,"AR",22
"47","MAPK14",1,"ATF2",22
"48","MAPK14",1,"ATF6",22
"49","MAPK14",1,"ELK1",22
"50","MAPK14",1,"ELK4",8
"51","MAPK14",1,"TP53",22
"52","MAPK3",-1,"CEBPA",29
"53","MAPK3",1,"ELK4",29
"54","MAPK3",1,"SMAD2",12
"55","MAPK8",1,"ELK4",6
"56","MBTPS2",1,"CREB3L1",100
"57","MTMR4",1,"SMAD2",5
"58","N4BP1",-1,"ITCH",24
"59","NAB2",-1,"EGR1",100
"60","NOTCH2",1,"DTX1",53
"61","NUMBL",1,"ITCH",23
"62","PAK1",1,"ELF3",100
"63","PCSK7",-1,"CEBPA",22
"64","PCSK7",1,"ATF6",78
"65","PCSK7",1,"ELK4",22
"66","PCSK7",1,"PPP2CA",2
"67","POGLUT1",1,"NOTCH2",40
"68","PPP2CA",-1,"ELF1",54
"69","PPP2CA",1,"RB1",54
"70","PPP2CA",1,"RBL2",42
"71","PPP2CA",1,"SMAD2",12
"72","PPP2CB",-1,"ELF1",46
"73","PRPF4B",1,"ELK1",100
"74","PTP4A1",-1,"ATF7",81
"75","PTPRE",-1,"MAPK1",2
"76","RB1",-1,"E2F2",100
"77","RB1",-1,"E2F3",100
"78","RBCK1",-1,"BACH1",100
"79","RBL2",1,"E2F4",42
"80","RORB",1,"ARNTL",100
"81","SIM2",1,"ARNT",61
"82","SMAD2",1,"E2F4",58
"83","SMAD3_SMAD4",-1,"CEBPA",100
"84","SMAD3_SMAD4",-1,"CEBPB",100
"85","SMAD3_SMAD4",-1,"CEBPD",100
"86","SMAD4",1,"AR",100
"87","SMAD4",1,"ATF1",100
"88","SMAD4",1,"ATF2",100
"89","SMAD4",1,"CREB1",100
"90","SMAD4",1,"CTCF",100
"91","SMAD4",1,"E2F5",100
"92","TAF12",1,"ATF7",54
"93","TAF4",-1,"ATF7",25
"94","TFDP2",1,"E2F2",100
"95","TGIF1",-1,"SMAD4",38
"96","TIPRL",-1,"PPP2CA",9
"97","TLX1",-1,"PPP2CB",20
"98","TLX1",-1,"RB1",20
"99","TP53",1,"ARID3A",100
"100","TP53",1,"BHLHE40",100
"101","TUB",1,"MAPK1",4
"102","TUB",1,"MAPK3",16
"103","WDR83",1,"MAPK3",4
"104","ZNF521",-1,"EBF1",100
