"","Node1","Sign","Node2","Weight"
"1","AHR",1,"AR",100
"2","AR",1,"EGFR",49
"3","ARNT",1,"AHR",100
"4","CADPS",1,"STX1A",13
"5","CADPS2",1,"STX1A",30
"6","CAMK1",1,"ATF1",8
"7","CAMK1",1,"CREB1",8
"8","CDK1",-1,"CUX1",100
"9","CDK1",1,"AR",100
"10","CDK1",1,"CHEK1",100
"11","CDK1",1,"TP53",100
"12","CDK5",-1,"RB1",100
"13","CDK5",1,"CLOCK",100
"14","CDK5RAP3",1,"CDK1",100
"15","CEBPB",1,"CREB1",100
"16","CEBPE",1,"CEBPG",100
"17","CERK",1,"RAF1",9
"18","CHEK1",-1,"E2F6",100
"19","CHEK1",1,"RB1",100
"20","CHEK1",1,"TP53",100
"21","CPLX1",1,"STX1A",10
"22","CREBZF",1,"ATF4",100
"23","CREM",-1,"CREB1",100
"24","DTX1",-1,"ASCL1",100
"25","EFNA1",1,"EPHA4",5
"26","EFNA2",1,"EPHA4",15
"27","EFNA4",1,"EPHA4",17
"28","EFNB3",1,"EPHA4",10
"29","EGR1",-1,"AR",100
"30","EID2",-1,"SMAD3_SMAD4",100
"31","EPHA4",1,"CDK5",47
"32","FHL5",1,"CREM",100
"33","GABPB1",-1,"HCFC1",100
"34","GXYLT2",1,"NOTCH2",46
"35","HCFC1",1,"CREB3",100
"36","HDLBP",1,"CTCF",100
"37","HEY2",-1,"ARNT",100
"38","HIF1AN",-1,"EPAS1",100
"39","HNF1B",1,"ATF1",21
"40","HNF1B",1,"CREB1",21
"41","HYAL2",1,"SMAD4",4
"42","ITCH",-1,"DTX1",54
"43","LCMT1",1,"PPP2CA",56
"44","LCMT1",1,"PPP2CB",44
"45","MBTPS2",1,"CREB3L1",100
"46","N4BP1",-1,"ITCH",23
"47","NAB1",-1,"EGR1",100
"48","NAB2",-1,"EGR1",100
"49","NOTCH2",1,"DTX1",46
"50","NRG1",1,"ERBB2",35
"51","NUMBL",1,"ITCH",31
"52","NUP214",1,"SMAD3_SMAD4",35
"53","NUP214",1,"SMAD4",2
"54","PAK1",1,"ELF3",100
"55","PAK1",1,"PRKACA",47
"56","PCBD1",1,"HNF1B",21
"57","PCSK7",1,"ATF6",100
"58","PCSK7",1,"ELK4",100
"59","PCSK7",1,"PPP2CA",56
"60","POGLUT1",1,"NOTCH2",46
"61","PPM1F",-1,"CAMK1",7
"62","PPM1F",-1,"PAK1",7
"63","PPP2CA",-1,"ELF1",56
"64","PPP2CA",-1,"PAK1",56
"65","PPP2CA",-1,"PRKACA",24
"66","PPP2CA",1,"RAF1",35
"67","PPP2CA",1,"RB1",56
"68","PPP2CA",1,"RBL2",54
"69","PPP2CB",-1,"ELF1",44
"70","PPP2CB",-1,"PAK1",44
"71","PRKACA",1,"ATF1",47
"72","PRKACA",1,"ATF2",47
"73","PRKACA",1,"CREB1",47
"74","PRPF4B",1,"ELK1",100
"75","RAF1",1,"RB1",44
"76","RB1",-1,"E2F3",100
"77","RBCK1",-1,"BACH1",100
"78","RBL2",1,"E2F4",54
"79","RBL2",1,"E2F5",54
"80","SIM2",1,"ARNT",100
"81","SMAD3_SMAD4",-1,"CEBPA",100
"82","SMAD3_SMAD4",-1,"CEBPD",100
"83","SMAD3_SMAD4",1,"ATF2",100
"84","SMAD4",1,"AR",46
"85","SMAD4",1,"ATF1",24
"86","SMAD4",1,"ATF2",24
"87","SMAD4",1,"CREB1",24
"88","SMAD4",1,"CTCF",46
"89","SMAD4",1,"E2F4",46
"90","SMAD4",1,"E2F5",46
"91","SNIP1",1,"SMAD4",4
"92","STK40",-1,"CEBPB",100
"93","STX1A",1,"CDK5",53
"94","TAF12",1,"ATF7",100
"95","TFDP2",1,"E2F2",100
"96","TFDP2",1,"RB1",100
"97","TGIF1",-1,"SMAD4",49
"98","TP53",1,"ARID3A",100
"99","TP53",1,"ATF3",100
"100","TP53",1,"BHLHE40",100
"101","TP53",1,"EGFR",49
"102","TP53",1,"RB1",100
"103","TRIM33",1,"SMAD4",6
"104","USP9X",1,"SMAD4",5
"105","ZNF521",-1,"EBF1",100
