"","Node1","Sign","Node2","Weight"
"1","AHR",1,"AR",100
"2","AIP",1,"AHR",100
"3","ATE1",-1,"HSPA5",14
"4","CAMK1",1,"ATF1",34
"5","CAMK1",1,"CREB1",34
"6","CCNE2_CDK2",1,"E2F5",16
"7","CDK1",-1,"CUX1",100
"8","CDK1",1,"CHEK1",100
"9","CDK2",-1,"PAK1",43
"10","CDK2",-1,"SMAD4",36
"11","CDK2",1,"CHEK1",43
"12","CDK2",1,"E2F5",43
"13","CDK20",1,"CDK2",7
"14","CEBPB",1,"CREB1",100
"15","CEBPB",1,"E2F4",100
"16","CEBPE",1,"CEBPG",100
"17","CHEK1",-1,"E2F6",100
"18","CHEK1",1,"RB1",100
"19","CREB1",1,"TP53",100
"20","CREBZF",1,"ATF4",100
"21","CREM",-1,"CREB1",100
"22","DNAJB9",1,"HSPA5",30
"23","DTX1",-1,"ASCL1",100
"24","DUSP19",1,"MAPK8",4
"25","DUSP2",1,"MAPK1",9
"26","DUSP7",-1,"MAPK1",14
"27","E2F4",-1,"CDK1",100
"28","EGR1",1,"TP53",100
"29","EID2",-1,"SMAD3_SMAD4",76
"30","ELP1",1,"MAPK8",3
"31","FBXL12",-1,"CAMK1",15
"32","FBXO11",-1,"TP53",100
"33","FBXO22",-1,"BACH1",100
"34","FHL5",1,"CREM",100
"35","GABPB2",-1,"HCFC1",100
"36","GXYLT1",1,"NOTCH2",39
"37","GXYLT2",1,"NOTCH2",45
"38","HCFC1",1,"CREB3",100
"39","HDLBP",1,"CTCF",64
"40","HEY2",-1,"ARNT",46
"41","HIF1AN",-1,"EPAS1",100
"42","HNF1B",1,"ATF1",14
"43","HNF1B",1,"CREB1",14
"44","HSPA5",-1,"ATF6",44
"45","HYAL2",1,"SMAD4",2
"46","LAMTOR3",1,"MAPK1",7
"47","LCMT1",1,"PPP2CA",3
"48","LCMT1",1,"PPP2CB",93
"49","MAPK1",-1,"AR",49
"50","MAPK1",-1,"CEBPA",49
"51","MAPK1",-1,"PPP2R5C",13
"52","MAPK1",1,"ATF2",49
"53","MAPK1",1,"CCNE2_CDK2",16
"54","MAPK1",1,"CDK2",28
"55","MAPK1",1,"ELK1",49
"56","MAPK1",1,"ELK4",49
"57","MAPK1",1,"SMAD4",5
"58","MAPK8",1,"ATF2",7
"59","MAPK8",1,"ELK1",7
"60","MAPK8",1,"ELK4",7
"61","MBTPS2",1,"CREB3L1",100
"62","MDK",1,"NOTCH2",4
"63","NAB1",-1,"EGR1",60
"64","NAB2",-1,"EGR1",99
"65","NOTCH2",1,"DTX1",100
"66","NR0B2",-1,"CEBPA",7
"67","NUP214",1,"SMAD3_SMAD4",26
"68","NUP214",1,"SMAD4",3
"69","PAK1",1,"ELF3",100
"70","PAK1",1,"PRKACA",3
"71","PCBD1",1,"HNF1B",14
"72","PCSK7",-1,"CEBPA",44
"73","PCSK7",1,"ATF6",56
"74","PCSK7",1,"ELK4",44
"75","PCSK7",1,"PPP2CA",3
"76","POGLUT1",1,"NOTCH2",49
"77","PPM1F",-1,"CAMK1",19
"78","PPM1F",-1,"PAK1",19
"79","PPP2CA",-1,"ELF1",6
"80","PPP2CA",-1,"PAK1",6
"81","PPP2CA",-1,"PRKACA",3
"82","PPP2CA",1,"RB1",6
"83","PPP2CA",1,"RBL2",3
"84","PPP2CB",-1,"ELF1",94
"85","PPP2CB",-1,"PAK1",94
"86","PPP2R5C",1,"ATF1",13
"87","PRKACA",1,"ATF1",3
"88","PRKACA",1,"CREB1",3
"89","PRKCH",1,"MAPK1",11
"90","PRPF4B",1,"ELK1",44
"91","PTP4A2",1,"CDK2",7
"92","PTPRB",-1,"MAPK1",7
"93","RB1",-1,"E2F3",100
"94","RB1",1,"ATF2",100
"95","RBL2",1,"E2F5",3
"96","RORB",1,"ARNTL",100
"97","SIM2",1,"ARNT",54
"98","SMAD3_SMAD4",-1,"CEBPD",100
"99","SMAD4",1,"AR",36
"100","SMAD4",1,"ATF1",36
"101","SMAD4",1,"ATF2",38
"102","SMAD4",1,"CREB1",36
"103","SMAD4",1,"CTCF",36
"104","SMAD4",1,"E2F4",36
"105","SMAD4",1,"E2F5",38
"106","SNIP1",1,"SMAD4",14
"107","STK40",-1,"CEBPB",100
"108","TAF12",1,"ATF7",100
"109","TFDP2",1,"E2F2",100
"110","TFDP2",1,"RB1",100
"111","TGIF1",-1,"SMAD4",6
"112","TLX1",-1,"PPP2CB",72
"113","TLX1",-1,"RB1",72
"114","TP53",1,"ATF3",100
"115","TP53",1,"BHLHE40",100
"116","TRIM33",1,"SMAD4",4
"117","USP9X",1,"SMAD4",7
"118","ZNF521",-1,"EBF1",100
