"","Node1","Sign","Node2","Weight"
"1","ARNT",1,"AHR",100
"2","CDK1",-1,"CUX1",100
"3","CDK1",-1,"RB1",100
"4","CDK1",1,"TP53",100
"5","CDK5RAP3",-1,"CHEK1",100
"6","CDK5RAP3",1,"CDK1",100
"7","CEBPB",1,"CREB1",100
"8","CEBPB",1,"E2F4",100
"9","CEBPE",1,"CEBPG",100
"10","CHEK1",-1,"E2F6",100
"11","CHEK1",1,"RB1",100
"12","CREB1",1,"TP53",100
"13","CREBZF",1,"ATF4",100
"14","DTX1",-1,"ASCL1",100
"15","EGR1",-1,"AR",100
"16","EGR1",1,"TP53",100
"17","EID2",-1,"SMAD3_SMAD4",100
"18","FBXO22",-1,"BACH1",100
"19","FBXW11",1,"SMAD4",38
"20","FHL5",1,"CREM",100
"21","GABPB1",-1,"HCFC1",56
"22","GABPB2",-1,"HCFC1",44
"23","GXYLT1",1,"NOTCH2",33
"24","GXYLT2",1,"NOTCH2",22
"25","HCFC1",1,"CREB3",100
"26","HEY2",-1,"ARNT",57
"27","HIF1AN",-1,"EPAS1",100
"28","HYAL2",1,"SMAD4",3
"29","IGBP1",1,"PPP2CA",100
"30","MBTPS2",1,"CREB3L1",100
"31","NAB1",-1,"EGR1",48
"32","NAB2",-1,"EGR1",52
"33","NOTCH2",1,"DTX1",100
"34","NUP214",1,"SMAD4",32
"35","PAK1",1,"ELF3",100
"36","PCSK7",1,"ATF6",100
"37","PCSK7",1,"ELK4",100
"38","POGLUT1",1,"NOTCH2",67
"39","PPP2CA",-1,"ELF1",100
"40","PPP2CA",-1,"PAK1",100
"41","PPP2CA",1,"RB1",100
"42","PRPF4B",1,"ELK1",100
"43","PTP4A1",-1,"ATF7",55
"44","RB1",-1,"E2F2",100
"45","RB1",-1,"E2F3",100
"46","RB1",1,"ATF2",100
"47","RORB",1,"ARNTL",100
"48","SIM2",1,"ARNT",45
"49","SMAD3_SMAD4",-1,"CEBPA",100
"50","SMAD3_SMAD4",-1,"CEBPB",100
"51","SMAD3_SMAD4",-1,"CEBPD",100
"52","SMAD3_SMAD4",1,"ATF2",100
"53","SMAD4",1,"ATF1",100
"54","SMAD4",1,"CREB1",100
"55","SMAD4",1,"CTCF",100
"56","SMAD4",1,"E2F4",100
"57","SMAD4",1,"E2F5",100
"58","SNIP1",1,"SMAD4",3
"59","TAF12",1,"ATF7",29
"60","TAF4",-1,"ATF7",45
"61","TFDP2",1,"E2F2",100
"62","TGIF1",-1,"SMAD4",4
"63","TP53",1,"ARID3A",100
"64","TP53",1,"ATF3",100
"65","TP53",1,"BHLHE40",100
"66","TRIM33",1,"SMAD4",12
"67","USP9X",1,"SMAD4",8
"68","ZNF521",-1,"EBF1",100
