"","Node1","Sign","Node2","Weight"
"1","AHR",1,"AR",100
"2","ARNT",1,"AHR",100
"3","ATF2",1,"ATF3",100
"4","BAG4",-1,"TNFRSF1A",8
"5","CDK1",-1,"CUX1",100
"6","CDK1",1,"CHEK1",100
"7","CDK5",-1,"RB1",100
"8","CDK5",1,"AR",100
"9","CDK5",1,"CLOCK",100
"10","CDK5",1,"TP53",100
"11","CEBPB",1,"CREB1",100
"12","CEBPB",1,"E2F4",100
"13","CEBPE",1,"CEBPG",100
"14","CHEK1",-1,"E2F6",100
"15","CHEK1",1,"RB1",100
"16","CREB1",1,"TP53",100
"17","CREBZF",1,"ATF4",100
"18","DTX1",-1,"ASCL1",100
"19","E2F4",-1,"CDK1",100
"20","EFNA1",1,"EPHA4",19
"21","EFNA2",1,"EPHA4",11
"22","EFNA3",1,"EPHA4",18
"23","EFNA4",1,"EPHA4",9
"24","EFNA5",1,"EPHA4",18
"25","EFNB2",1,"EPHA4",23
"26","EGR1",1,"TP53",100
"27","EID2",-1,"SMAD3_SMAD4",100
"28","EPHA4",1,"CDK5",99
"29","FHL5",1,"CREM",100
"30","GABPB1",-1,"HCFC1",100
"31","GXYLT1",1,"NOTCH2",15
"32","GXYLT2",1,"NOTCH2",12
"33","HCFC1",1,"CREB3",100
"34","HIF1AN",-1,"EPAS1",100
"35","ISG15",1,"JAK1",43
"36","ITCH",-1,"DTX1",47
"37","KRT14",-1,"TNFRSF1A",19
"38","LTA",1,"TNFRSF1A",27
"39","LTA",1,"TNFRSF1B",2
"40","MBTPS2",1,"CREB3L1",100
"41","MDK",1,"NOTCH2",14
"42","NAB1",-1,"EGR1",100
"43","NAB2",-1,"EGR1",100
"44","NOTCH2",1,"DTX1",53
"45","NUMBL",1,"ITCH",47
"46","OMG",1,"TNFRSF1B",36
"47","PAK1",1,"ELF3",100
"48","PCSK7",1,"ATF6",100
"49","PCSK7",1,"ELK4",100
"50","POGLUT1",1,"NOTCH2",12
"51","PPP2CA",-1,"ELF1",100
"52","PPP2CA",-1,"PAK1",100
"53","PPP2CA",1,"RB1",100
"54","PRPF4B",1,"ELK1",100
"55","PTPRG",-1,"JAK2",41
"56","RB1",-1,"E2F2",100
"57","RB1",-1,"E2F3",100
"58","RBCK1",-1,"BACH1",100
"59","SIM2",1,"ARNT",100
"60","SMAD3_SMAD4",-1,"CEBPA",100
"61","SMAD3_SMAD4",-1,"CEBPB",100
"62","SMAD3_SMAD4",-1,"CEBPD",100
"63","SMAD4",1,"AR",100
"64","SMAD4",1,"ATF1",100
"65","SMAD4",1,"ATF2",100
"66","SMAD4",1,"CREB1",100
"67","SMAD4",1,"CTCF",100
"68","SMAD4",1,"E2F4",100
"69","SMAD4",1,"E2F5",100
"70","SNIP1",1,"SMAD4",100
"71","SOCS4",-1,"JAK2",9
"72","TAF12",1,"ATF7",100
"73","TFDP2",1,"E2F2",100
"74","TLX1",-1,"PPP2CA",100
"75","TLX1",-1,"RB1",100
"76","TP53",1,"ATF3",100
"77","TP53",1,"BHLHE40",100
"78","ZNF521",-1,"EBF1",100
