"","Node1","Sign","Node2","Weight"
"1","AIP",1,"AHR",100
"2","ATF2",1,"ATF3",100
"3","BHLHE40",-1,"ARNTL",100
"4","CAMK1",1,"ATF1",47
"5","CAMK1",1,"CREB1",47
"6","CDK1",-1,"CUX1",100
"7","CDK1",1,"AR",100
"8","CDK1",1,"TP53",100
"9","CDK2",-1,"PAK1",48
"10","CDK2",1,"E2F5",48
"11","CDK2",1,"TP53",48
"12","CDK20",1,"CDK2",17
"13","CDK2AP1",-1,"CDK2",7
"14","CDKN3",-1,"CDK2",17
"15","CEBPB",1,"CREB1",100
"16","CEBPB",1,"E2F4",100
"17","CEBPE",1,"CEBPG",100
"18","CHEK1",-1,"E2F6",100
"19","CHEK1",1,"E2F3",100
"20","CREB5",1,"ATF2",100
"21","CREBZF",1,"ATF4",100
"22","CREM",-1,"CREB1",100
"23","DTX1",-1,"ASCL1",100
"24","E2F4",-1,"CDK1",100
"25","EGR1",-1,"AR",100
"26","EID2",-1,"SMAD3_SMAD4",100
"27","FBXL12",-1,"CAMK1",14
"28","FBXW11",1,"SMAD4",6
"29","FHL5",1,"CREM",100
"30","GABPB2",-1,"HCFC1",100
"31","GXYLT1",1,"NOTCH2",37
"32","GXYLT2",1,"NOTCH2",25
"33","HCFC1",1,"CREB3",100
"34","HDLBP",1,"CTCF",100
"35","HEY2",-1,"ARNT",99
"36","HIF1AN",-1,"EPAS1",100
"37","HNF1B",1,"ATF1",27
"38","HNF1B",1,"CREB1",27
"39","HYAL2",1,"SMAD4",4
"40","LCMT1",1,"PPP2CB",47
"41","NAB1",-1,"EGR1",57
"42","NAB2",-1,"EGR1",43
"43","NOTCH2",1,"DTX1",100
"44","NUP214",1,"SMAD4",10
"45","PAK1",1,"ELF3",100
"46","PCBD1",1,"HNF1B",27
"47","PCSK7",-1,"CEBPA",100
"48","PCSK7",1,"ATF6",100
"49","PCSK7",1,"ELK4",100
"50","PCSK7",1,"PPP2CA",27
"51","POGLUT1",1,"NOTCH2",63
"52","PPM1F",-1,"CAMK1",33
"53","PPM1F",-1,"PAK1",33
"54","PPP2CA",-1,"CHEK1",27
"55","PPP2CA",-1,"ELF1",27
"56","PPP2CA",-1,"PAK1",27
"57","PPP2CA",1,"RBL2",25
"58","PPP2CB",-1,"CHEK1",47
"59","PPP2CB",-1,"ELF1",47
"60","PPP2CB",-1,"PAK1",47
"61","PRPF4B",1,"ELK1",100
"62","PTP4A2",1,"CDK2",7
"63","RBCK1",-1,"BACH1",100
"64","RBL2",1,"E2F5",25
"65","RORB",1,"ARNTL",100
"66","SIM2",1,"ARNT",52
"67","SMAD3_SMAD4",-1,"CEBPA",100
"68","SMAD3_SMAD4",-1,"CEBPB",100
"69","SMAD3_SMAD4",-1,"CEBPD",100
"70","SMAD4",1,"AR",27
"71","SMAD4",1,"ATF1",26
"72","SMAD4",1,"ATF2",26
"73","SMAD4",1,"CREB1",26
"74","SMAD4",1,"CTCF",27
"75","SMAD4",1,"E2F4",26
"76","SMAD4",1,"E2F5",27
"77","SNIP1",1,"SMAD4",4
"78","TAF12",1,"ATF7",100
"79","TFDP2",1,"E2F2",100
"80","TGIF1",-1,"SMAD4",4
"81","TLX1",-1,"PPP2CB",39
"82","TP53",1,"ARID3A",100
"83","TP53",1,"BHLHE40",100
"84","TRIM33",1,"SMAD4",13
"85","USP9X",1,"SMAD4",11
"86","ZNF521",-1,"EBF1",100
