"","Node1","Sign","Node2","Weight"
"1","ADNP",-1,"CTCF",100
"2","AIP",1,"AHR",100
"3","ATF2",1,"ATF3",100
"4","CDK1",-1,"CUX1",100
"5","CDK1",1,"CHEK1",100
"6","CEBPB",1,"CREB1",100
"7","CEBPB",1,"E2F4",100
"8","CEBPE",1,"CEBPG",100
"9","CHEK1",-1,"E2F6",100
"10","CHEK1",1,"RB1",100
"11","CREB1",1,"TP53",100
"12","CREBZF",1,"ATF4",100
"13","CREM",-1,"CREB1",100
"14","DTX1",-1,"ASCL1",100
"15","E2F4",-1,"CDK1",100
"16","EGR1",1,"TP53",100
"17","EID2",-1,"SMAD3_SMAD4",77
"18","FBXO22",-1,"BACH1",100
"19","FHL5",1,"CREM",100
"20","GABPB2",-1,"HCFC1",100
"21","GXYLT1",1,"NOTCH2",36
"22","GXYLT2",1,"NOTCH2",28
"23","HCFC1",1,"CREB3",100
"24","HDLBP",1,"CTCF",100
"25","HEY2",-1,"ARNT",55
"26","HIF1AN",-1,"EPAS1",100
"27","HYAL2",1,"SMAD4",24
"28","IGBP1",1,"PPP2CA",100
"29","MBTPS2",1,"CREB3L1",100
"30","NAB1",-1,"EGR1",47
"31","NAB2",-1,"EGR1",100
"32","NOTCH2",1,"DTX1",100
"33","NUP214",1,"SMAD3_SMAD4",23
"34","NUP214",1,"SMAD4",25
"35","PAK1",1,"ELF3",100
"36","PCSK7",1,"ATF6",100
"37","PCSK7",1,"ELK4",100
"38","POGLUT1",1,"NOTCH2",56
"39","PPP2CA",-1,"ELF1",100
"40","PPP2CA",-1,"PAK1",100
"41","PPP2CA",1,"RB1",100
"42","PRPF4B",1,"ELK1",100
"43","PTP4A1",-1,"ATF7",64
"44","RB1",-1,"E2F2",100
"45","RB1",-1,"E2F3",100
"46","RB1",1,"ATF2",100
"47","RORB",1,"ARNTL",100
"48","SIM2",1,"ARNT",45
"49","SMAD3_SMAD4",-1,"CEBPA",100
"50","SMAD3_SMAD4",-1,"CEBPB",100
"51","SMAD3_SMAD4",-1,"CEBPD",100
"52","SMAD3_SMAD4",1,"ATF2",100
"53","SMAD4",1,"AR",100
"54","SMAD4",1,"ATF1",100
"55","SMAD4",1,"CREB1",100
"56","SMAD4",1,"CTCF",100
"57","SMAD4",1,"E2F4",100
"58","SMAD4",1,"E2F5",100
"59","SNIP1",1,"SMAD4",4
"60","TAF12",1,"ATF7",31
"61","TAF4",-1,"ATF7",36
"62","TFDP2",1,"E2F2",100
"63","TGIF1",-1,"SMAD4",15
"64","TP53",1,"ARID3A",100
"65","TP53",1,"BHLHE40",100
"66","TRIM33",1,"SMAD4",11
"67","USP9X",1,"SMAD4",21
"68","ZNF521",-1,"EBF1",100
